Date,Srad,Tmax,Tmin,Vapr,Tdew,RHmax,RHmin,Wndsp,Rain,Etref,MorP
2025-007,9.14,11.13,-3.55,,-9.83,60.53,15.72,2.38,0.0,,M
2025-008,9.18,6.9,-3.56,,-10.97,53.15,25.91,2.43,0.0,,M
2025-009,9.06,5.25,-5.85,,-11.74,61.46,23.66,1.47,0.0,,M
2025-010,8.59,7.13,-6.79,,-10.75,67.5,24.25,2.21,0.0,,M
2025-011,8.34,10.34,-2.63,,-10.56,49.11,20.29,2.15,0.0,,M
2025-012,9.33,9.22,-0.58,,-11.31,43.86,17.87,2.14,0.0,,M
2025-013,8.76,13.65,-3.44,,-8.18,60.76,17.92,2.12,0.0,,M
2025-014,8.72,10.8,-1.18,,-9.9,59.48,9.38,3.22,0.0,,M
2025-015,9.89,6.31,-5.06,,-18.32,35.39,11.74,2.97,0.0,,M
2025-016,10.26,12.02,-2.48,,-17.24,32.55,9.62,3.31,0.0,,M
2025-017,10.02,10.95,-6.3,,-11.78,60.73,15.84,0.98,0.0,,M
2025-018,9.29,15.33,-1.2,,-8.44,55.46,16.55,3.17,0.0,,M
2025-019,6.81,14.99,0.29,,-10.41,41.31,16.69,2.6,0.0,,M
2025-020,9.39,15.24,-3.13,,-6.99,68.54,18.15,1.45,0.0,,M
2025-021,6.61,11.78,-2.43,,-3.23,100.0,29.12,1.91,0.0,,M
2025-022,8.15,10.56,0.98,,-5.19,61.98,30.69,1.86,0.0,,M
2025-023,3.1,4.59,-1.97,,-5.3,90.69,40.86,1.36,1.07,,M
2025-024,2.73,1.47,-0.22,,-0.34,94.83,82.18,0.76,7.22,,M
2025-025,3.13,1.45,0.42,,0.18,95.1,92.07,2.24,6.16,,M
2025-026,11.4,4.16,-0.35,,-7.99,94.94,21.2,5.36,0.77,,M
2025-027,11.34,3.78,-5.37,,-16.42,43.99,19.21,3.62,0.0,,M
2025-028,11.19,6.23,-5.71,,-12.33,59.7,20.64,3.33,0.0,,M
2025-029,10.46,8.18,-5.63,,-7.29,81.64,26.61,1.23,0.0,,M
2025-030,8.67,5.53,-2.85,,-5.23,85.52,41.78,1.8,0.0,,M
2025-031,5.99,2.52,-1.33,,-5.41,74.21,58.3,2.01,0.09,,M
2025-032,3.87,7.79,-2.67,,-3.53,86.1,58.99,1.53,4.88,,M
2025-033,5.48,8.8,-1.46,,-1.85,82.65,50.62,2.83,0.0,,M
2025-034,11.17,10.65,-2.27,,-5.24,91.92,15.61,2.79,0.0,,M
2025-035,11.17,11.84,-3.66,,-8.64,69.01,16.52,2.3,0.0,,M
2025-036,11.3,8.09,0.98,,-14.48,47.1,11.02,2.48,0.0,,M
2025-037,5.85,8.87,-2.6,,-11.79,55.91,12.68,3.5,0.0,,M
2025-038,11.77,6.35,-5.0,,-24.77,25.23,5.64,3.4,0.0,,M
2025-039,12.01,3.63,-7.38,,-22.4,39.27,9.95,1.91,0.0,,M
2025-040,11.11,5.91,-8.75,,-15.37,56.16,16.77,0.8,0.0,,M
2025-041,11.31,10.46,-5.48,,-8.64,66.38,23.75,1.56,0.0,,M
2025-042,3.1,5.58,-2.86,,-6.08,68.54,40.21,,0.0,,M
2025-043,3.55,9.4,0.5,,-10.93,67.2,8.02,3.18,0.03,,M
2025-044,12.04,12.11,-3.46,,-13.68,41.95,10.71,2.35,0.0,,M
2025-045,11.77,15.61,-0.96,,-9.79,52.96,8.59,2.0,0.0,,M
2025-046,12.07,17.63,1.52,,-9.58,42.03,9.52,3.22,0.0,,M
2025-047,12.23,16.21,3.21,,-10.77,32.52,13.57,2.36,0.0,,M
2025-048,10.03,12.35,2.92,,-7.9,39.63,22.55,3.06,0.0,,M
2025-049,10.62,11.85,-0.45,,-6.63,57.73,32.27,1.85,0.0,,M
2025-050,5.05,7.52,3.79,,-11.42,41.08,15.16,2.82,0.0,,M
2025-051,4.62,5.84,2.08,,-3.94,88.19,16.88,1.43,0.38,,M
2025-052,8.41,6.92,0.02,,-0.88,93.05,44.41,1.41,0.36,,M
2025-053,5.94,5.45,1.36,,-1.87,77.63,59.14,2.15,0.0,,M
2025-054,13.39,7.8,-4.19,,-5.47,90.92,26.35,1.61,0.0,,M
2025-055,11.74,9.87,-5.2,,-7.44,75.29,25.59,0.92,0.0,,M
2025-056,12.93,16.34,3.02,,-4.29,61.82,15.36,2.92,0.0,,M
2025-057,14.24,18.11,-1.05,,-3.82,61.07,23.46,1.83,0.0,,M
2025-058,11.76,17.89,0.96,,1.68,85.9,33.79,1.79,0.0,,M
2025-059,10.12,18.89,2.92,,4.83,89.67,42.52,2.48,0.0,,M
2025-060,8.25,18.33,9.6,,9.85,89.82,60.12,3.2,0.0,,M
2025-061,3.52,14.34,4.51,,7.41,95.97,70.37,4.2,31.93,,M
2025-062,3.77,4.51,0.06,,-2.57,95.59,36.92,1.86,10.28,,M
2025-063,8.86,5.99,-0.49,,-1.47,91.42,57.07,1.19,0.04,,M
2025-064,7.57,10.74,-0.05,,1.38,92.6,58.33,1.49,0.0,,M
2025-065,12.23,13.59,4.65,,3.32,92.21,35.5,1.33,0.0,,M
2025-066,10.69,13.16,4.78,,2.33,83.31,46.13,1.61,0.05,,M
2025-067,13.47,16.61,2.49,,3.47,89.8,30.77,2.04,0.0,,M
2025-068,11.2,16.9,5.58,,3.97,79.24,43.02,2.73,0.0,,M
2025-069,12.52,18.05,3.46,,5.06,93.03,41.47,1.56,0.06,,M
2025-070,7.97,16.44,6.77,,7.07,91.92,58.42,1.71,0.02,,M
2025-071,8.61,18.73,7.14,,3.2,91.09,24.45,2.28,0.0,,M
2025-072,9.15,16.74,5.63,,4.54,79.1,48.24,2.03,0.0,,M
2025-073,7.31,12.65,7.69,,2.28,76.39,32.74,2.9,0.16,,M
2025-074,9.23,15.47,5.11,,1.56,77.93,22.76,2.23,0.0,,M
2025-075,17.76,12.57,1.6,,-5.56,70.57,16.8,2.76,0.0,,M
2025-076,19.09,18.17,1.78,,-7.37,46.48,12.38,4.04,0.0,,M
2025-077,18.24,17.57,1.14,,-4.95,58.75,16.07,2.61,0.0,,M
2025-078,19.09,21.1,2.24,,-1.59,66.43,16.94,2.83,0.0,,M
2025-079,19.43,24.91,4.81,,-3.54,47.46,9.55,3.34,0.0,,M
2025-080,20.07,25.4,7.04,,-4.22,40.83,10.83,3.05,0.0,,M
2025-081,18.95,26.79,7.95,,-4.51,35.98,9.76,3.4,0.0,,M
2025-082,14.65,26.3,14.04,,-2.25,36.38,12.67,4.02,0.0,,M
2025-083,14.71,28.26,13.05,,0.42,40.78,17.0,1.86,0.0,,M
2025-084,16.92,30.08,13.63,,5.63,51.98,22.81,2.7,0.0,,M
2025-085,16.75,25.12,10.37,,8.9,84.89,42.69,1.7,0.0,,M
2025-086,5.48,16.13,8.41,,1.11,60.69,32.0,2.91,0.58,,M
2025-087,16.94,13.01,7.18,,-10.57,45.62,11.73,4.42,0.04,,M
2025-088,9.46,11.49,3.54,,-8.84,48.9,18.99,2.27,0.12,,M
2025-089,18.53,17.45,4.35,,-6.05,44.98,15.45,2.08,0.22,,M
2025-090,16.88,19.71,2.67,,-0.98,66.76,21.17,1.96,0.0,,M
2025-091,20.2,24.72,4.89,,-0.89,59.48,10.51,2.83,0.0,,M
2025-092,19.74,18.79,9.47,,-3.72,37.03,21.84,3.44,0.92,,M
2025-093,18.73,21.68,6.93,,1.79,54.32,30.41,1.22,0.35,,M
2025-094,10.08,23.2,9.98,,4.74,66.4,30.39,2.33,0.0,,M
2025-095,22.32,22.53,9.36,,1.66,64.3,26.78,2.89,0.0,,M
2025-096,21.38,24.37,8.86,,3.83,64.32,28.84,2.32,0.0,,M
2025-097,20.94,26.48,11.06,,5.53,63.47,29.21,1.71,0.0,,M
2025-098,10.96,23.8,16.46,,9.4,59.89,31.04,2.21,0.0,,M
2025-099,15.44,28.82,11.59,,9.38,79.46,17.75,2.15,0.0,,M
2025-100,19.97,27.8,11.24,,11.82,88.94,22.29,1.72,0.0,,M
2025-101,9.47,25.61,13.9,,11.05,74.66,20.0,2.64,0.0,,M
2025-102,22.48,24.07,8.35,,-12.98,28.84,8.77,7.27,0.0,,M
2025-103,21.62,26.49,7.36,,-3.94,39.2,14.92,5.38,0.0,,M
2025-104,22.41,27.57,14.25,,0.49,40.99,16.18,3.79,0.0,,M
2025-105,18.23,29.83,8.99,,6.86,66.25,20.78,1.34,0.0,,M
2025-106,19.25,33.11,15.42,,9.05,56.44,20.46,2.24,0.16,,M
2025-107,20.6,34.17,17.57,,8.44,49.81,16.66,2.11,0.0,,M
2025-108,16.53,25.48,16.03,,13.36,78.89,39.81,4.83,5.65,,M
2025-109,16.15,23.34,12.0,,12.77,91.68,60.4,2.68,3.55,,M
2025-110,20.45,25.82,13.15,,14.49,94.53,53.02,3.8,0.0,,M
2025-111,11.97,26.82,17.74,,12.02,64.7,31.83,3.61,0.0,,M
2025-112,21.25,26.03,14.86,,9.98,78.29,31.51,2.15,0.0,,M
2025-113,23.09,30.46,13.26,,8.3,67.67,20.3,2.13,0.49,,M
2025-114,20.54,22.5,17.71,,2.03,42.43,20.5,3.33,0.0,,M
2025-115,22.4,27.03,9.86,,6.96,69.03,33.83,1.24,0.0,,M
2025-116,16.31,28.31,14.05,,13.81,91.28,39.67,1.58,0.86,,M
2025-117,14.07,26.19,15.53,,11.1,77.28,40.95,2.88,4.35,,M
2025-118,23.59,28.29,11.12,,9.2,79.16,21.9,2.44,0.0,,M
