Day	Month	Year	MinTemp	MaxTemp	Precipitation	ReferenceET
15	5	2026	17.14	29.35	4.58	5.39
16	5	2026	15.02	29.89	3.09	4.58
17	5	2026	16.86	32.05	0.03	5.99
18	5	2026	17.62	32.15	0.0	5.55
19	5	2026	18.61	32.01	0.0	4.74
20	5	2026	19.29	31.9	0.0	5.16
21	5	2026	17.22	30.72	5.15	5.01
22	5	2026	16.25	30.51	6.42	4.39
23	5	2026	16.4	28.83	0.01	4.36
24	5	2026	17.02	30.19	0.0	5.43
25	5	2026	17.5	25.85	0.66	3.95
26	5	2026	17.45	30.34	0.82	5.07
27	5	2026	18.21	30.28	1.94	4.87
28	5	2026	18.22	31.41	2.52	5.44
29	5	2026	19.53	32.31	2.83	5.49
30	5	2026	19.64	31.97	1.18	5.63
31	5	2026	20.14	31.32	0.07	5.21
1	6	2026	20.43	31.34	0.11	4.92
2	6	2026	20.56	33.47	0.0	5.63
3	6	2026	20.66	32.15	0.58	5.53
4	6	2026	19.4	31.28	0.94	5.42
5	6	2026	19.83	34.35	0.0	5.91
6	6	2026	19.89	36.9	0.0	6.51
7	6	2026	22.8	35.26	0.47	5.65
8	6	2026	21.68	35.22	0.71	5.1
9	6	2026	21.75	35.95	1.17	6.21
10	6	2026	21.98	34.79	0.52	6.27
11	6	2026	22.18	36.41	0.0	6.12
12	6	2026	23.26	34.9	0.91	5.82
13	6	2026	22.15	36.48	0.58	5.55
14	6	2026	23.22	34.77	2.59	5.53
15	6	2026	22.82	35.83	0.0	6.47
