time_step_counter,growing_season,dap,th1,th2,th3,th4,th5,th6,th7,th8,th9,th10,th11,th12,Date
59.0,1.0,46.0,0.18079865544086193,0.2385906116820915,0.27029516395856523,0.2870000000053624,0.2870000000049087,0.28700000000490683,0.2870000000049065,0.28700000000490644,0.28700000000490633,0.2870000000049063,0.2870000000049058,0.2870000000049033,2024-11-29
60.0,1.0,47.0,0.17658621376203296,0.2385906116820915,0.25667742667444504,0.2870000000012718,0.28700000000116416,0.28700000000116377,0.2870000000011636,0.28700000000116355,0.2870000000011636,0.28700000000116355,0.2870000000011634,0.28700000000116294,2024-11-30
61.0,1.0,48.0,0.17278840776515167,0.2385906116820915,0.24241030457018112,0.28700000000030157,0.2870000000002761,0.28700000000027603,0.28700000000027603,0.287000000000276,0.28700000000027603,0.287000000000276,0.2870000000002758,0.2870000000002757,2024-12-01
62.0,1.0,49.0,0.17042464250580178,0.2385906116820915,0.23676670230995311,0.28700000000007153,0.28700000000006537,0.2870000000000655,0.2870000000000655,0.2870000000000654,0.2870000000000655,0.2870000000000654,0.2870000000000654,0.2870000000000653,2024-12-02
63.0,1.0,50.0,0.16892967148819044,0.2385906116820915,0.23676670230995311,0.2848008840555818,0.2870000000000156,0.2870000000000155,0.2870000000000155,0.28700000000001546,0.2870000000000155,0.28700000000001546,0.28700000000001546,0.2870000000000155,2024-12-03
64.0,1.0,51.0,0.16799620801852247,0.2385906116820915,0.23676670230995311,0.28307341217535337,0.2870000000000037,0.28700000000000364,0.28700000000000364,0.2870000000000036,0.28700000000000364,0.2870000000000036,0.2870000000000036,0.28700000000000364,2024-12-04
65.0,1.0,52.0,0.1662279153774295,0.2385906116820915,0.23676670230995311,0.2758451656073239,0.2870000000000008,0.2870000000000009,0.2870000000000009,0.28700000000000087,0.2870000000000009,0.28700000000000087,0.28700000000000087,0.2870000000000009,2024-12-05
66.0,1.0,53.0,0.16461775370767795,0.2385906116820915,0.23676670230995311,0.2698431416778772,0.28700000000000014,0.28700000000000025,0.28700000000000025,0.2870000000000002,0.28700000000000025,0.2870000000000002,0.2870000000000002,0.28700000000000025,2024-12-06
67.0,1.0,54.0,0.16334852411713163,0.2385906116820915,0.23676670230995311,0.2669411114051806,0.287,0.2870000000000001,0.2870000000000001,0.28700000000000003,0.2870000000000001,0.28700000000000003,0.28700000000000003,0.2870000000000001,2024-12-07
68.0,1.0,55.0,0.16244511626667182,0.2385906116820915,0.23676670230995311,0.26648706731253835,0.287,0.2870000000000001,0.2870000000000001,0.28700000000000003,0.2870000000000001,0.28700000000000003,0.28700000000000003,0.2870000000000001,2024-12-08
69.0,1.0,56.0,0.1617493405303987,0.2385906116820915,0.23676670230995311,0.2651875613198735,0.287,0.2870000000000001,0.2870000000000001,0.28700000000000003,0.2870000000000001,0.28700000000000003,0.28700000000000003,0.2870000000000001,2024-12-09
70.0,1.0,57.0,0.16118519578492588,0.2385906116820915,0.23676670230995311,0.2644154440170845,0.287,0.2870000000000001,0.2870000000000001,0.28700000000000003,0.2870000000000001,0.28700000000000003,0.28700000000000003,0.2870000000000001,2024-12-10
71.0,1.0,58.0,0.16058731788927377,0.2385906116820915,0.23676670230995311,0.26329543318792675,0.287,0.2870000000000001,0.2870000000000001,0.28700000000000003,0.2870000000000001,0.28700000000000003,0.28700000000000003,0.2870000000000001,2024-12-11
72.0,1.0,59.0,0.1600244239742192,0.2385906116820915,0.23676670230995311,0.262798764487479,0.287,0.2870000000000001,0.2870000000000001,0.28700000000000003,0.2870000000000001,0.28700000000000003,0.28700000000000003,0.2870000000000001,2024-12-12
73.0,1.0,60.0,0.15866127545815817,0.2385906116820915,0.23676670230995311,0.2594523040796263,0.287,0.2870000000000001,0.2870000000000001,0.28700000000000003,0.2870000000000001,0.28700000000000003,0.28700000000000003,0.2870000000000001,2024-12-13
74.0,1.0,61.0,0.15755743584473017,0.2385906116820915,0.23676670230995311,0.25755289973212003,0.287,0.2870000000000001,0.2870000000000001,0.28700000000000003,0.2870000000000001,0.28700000000000003,0.28700000000000003,0.2870000000000001,2024-12-14
75.0,1.0,62.0,0.15646088340257885,0.2385906116820915,0.23676670230995311,0.25343992297378104,0.287,0.2870000000000001,0.2870000000000001,0.28700000000000003,0.2870000000000001,0.28700000000000003,0.28700000000000003,0.2870000000000001,2024-12-15
76.0,1.0,63.0,0.15567390897025754,0.2385906116820915,0.23676670230995311,0.25004846681257276,0.287,0.2870000000000001,0.2870000000000001,0.28700000000000003,0.2870000000000001,0.28700000000000003,0.28700000000000003,0.2870000000000001,2024-12-16
