time_step_counter,season_counter,dap,gdd,gdd_cum,z_root,canopy_cover,canopy_cover_ns,biomass,biomass_ns,harvest_index,harvest_index_adj,DryYield,FreshYield,YieldPot
108.0,0.0,95.0,2.3249999999999997,796.7800000000005,1.5000000000000007,0.880165418223229,0.8818777254263331,251.96072282358858,253.41949195228318,0.0,0.0,0.0,0.0,0.0
109.0,0.0,96.0,7.065,803.8450000000006,1.5000000000000007,0.8830784459308754,0.8846958830760149,260.7041316651984,262.1727013338471,0.0,0.0,0.0,0.0,0.0
110.0,0.0,97.0,7.64,811.4850000000006,1.5000000000000007,0.8857787542619138,0.8873792527767261,270.8646987886473,272.34449839796383,0.0,0.0,0.0,0.0,0.0
111.0,0.0,98.0,6.055,817.5400000000005,1.5000000000000007,0.8883873585545198,0.8899342812193358,277.19839011751884,278.6849328194305,0.0,0.0,0.0,0.0,0.0
112.0,0.0,99.0,4.675,822.2150000000005,1.5000000000000007,0.8908754354034484,0.8923671067598549,280.757486793805,282.24767160805357,0.0,0.0,0.0,0.0,0.0
113.0,0.0,100.0,5.7700000000000005,827.9850000000005,1.5000000000000007,0.8932042819801564,0.8946835741665956,286.466606644313,287.9625679243484,0.0,0.0,0.0,0.0,0.0
114.0,0.0,101.0,1.31,829.2950000000004,1.5000000000000007,0.8955628866627767,0.8968892486620007,286.8629863300677,288.35930613601755,0.0,0.0,0.0,0.0,0.0
115.0,0.0,102.0,0.625,829.9200000000004,1.5000000000000007,0.8979991816772703,0.8989894292928713,287.0217281847341,288.5181548662719,0.0,0.0,0.0,0.0,0.0
116.0,0.0,103.0,0.9349999999999999,830.8550000000004,1.5000000000000007,0.9003466067302536,0.9009891616611209,287.2790804577303,288.7756192469884,0.0,0.0,0.0,0.0,0.0
117.0,0.0,104.0,1.905,832.7600000000003,1.5000000000000007,0.9025752893491245,0.9028932500456364,287.95909342911045,289.4557784060386,0.0,0.0,0.0,0.0,0.0
118.0,0.0,105.0,0.0,832.7600000000003,1.5000000000000007,0.9046905127402135,0.9047062689443706,287.95909342911045,289.4557784060386,0.0,0.0,0.0,0.0,0.0
119.0,0.0,106.0,0.26000000000000023,833.0200000000003,1.5000000000000007,0.9066972793834542,0.9066972793834542,288.01980324860546,289.5164882255336,0.0,0.0,0.0,0.0,0.0
120.0,0.0,107.0,1.275,834.2950000000003,1.5000000000000007,0.9086003220718204,0.9086003220718204,288.4054249100209,289.902109886949,0.0,0.0,0.0,0.0,0.0
121.0,0.0,108.0,1.34,835.6350000000003,1.5000000000000007,0.9104041141775872,0.9104041141775872,288.8182390442178,290.31492402114594,0.0,0.0,0.0,0.0,0.0
122.0,0.0,109.0,0.595,836.2300000000004,1.5000000000000007,0.9121128791527756,0.9121128791527756,288.9696642072546,290.4663491841827,0.0,0.0,0.0,0.0,0.0
123.0,0.0,110.0,2.56,838.7900000000003,1.5000000000000007,0.9137305992666929,0.9137305992666929,290.0741694512858,291.5708544282139,0.0,0.0,0.0,0.0,0.0
124.0,0.0,111.0,3.6700000000000004,842.4600000000003,1.5000000000000007,0.9152610235786124,0.9152610235786124,292.23976341541777,293.7364483923459,0.0,0.0,0.0,0.0,0.0
125.0,0.0,112.0,4.19,846.6500000000003,1.5000000000000007,0.9167076751382602,0.9167076751382602,295.09478232725206,296.5914673041802,0.0,0.0,0.0,0.0,0.0
126.0,0.0,113.0,4.09,850.7400000000004,1.5000000000000007,0.9180738574007762,0.9180738574007762,297.80952028124693,299.30620525817505,0.0,0.0,0.0,0.0,0.0
127.0,0.0,114.0,4.535,855.2750000000003,1.5000000000000007,0.9193626598360807,0.9193626598360807,301.20309508368655,302.69978006061467,0.0,0.0,0.0,0.0,0.0
128.0,0.0,115.0,3.135,858.4100000000003,1.5000000000000007,0.9205769627049498,0.9205769627049498,302.80076114041935,304.2974461173475,0.0,0.0,0.0,0.0,0.0
129.0,0.0,116.0,0.6749999999999998,859.0850000000003,1.5000000000000007,0.9217133837612909,0.9217133837612909,302.9771510432307,304.47383602015884,0.0,0.0,0.0,0.0,0.0
130.0,0.0,117.0,0.0,859.0850000000003,1.5000000000000007,0.9227866798616735,0.9227866798616735,302.9771510432307,304.47383602015884,0.0,0.0,0.0,0.0,0.0
131.0,0.0,118.0,0.0,859.0850000000003,1.5000000000000007,0.9237928857345629,0.9237928857345629,302.9771510432307,304.47383602015884,0.0,0.0,0.0,0.0,0.0
132.0,0.0,119.0,2.49,861.5750000000003,1.5000000000000007,0.9247340694148458,0.9247340694148458,304.0382743254279,305.534959302356,0.0,0.0,0.0,0.0,0.0
133.0,0.0,120.0,1.36,862.9350000000003,1.5000000000000007,0.9256121155049747,0.9256121155049747,304.4637523212342,305.96043729816233,0.0,0.0,0.0,0.0,0.0
134.0,0.0,121.0,4.95,867.8850000000003,1.5000000000000007,0.9264248011586002,0.9264248011586002,308.6021778588177,310.0988628357458,0.0,0.0,0.0,0.0,0.0
135.0,0.0,122.0,4.324999999999999,872.2100000000004,1.5000000000000007,0.9271752373294087,0.9271752373294087,311.67933130777953,313.17601628470766,0.0,0.0,0.0,0.0,0.0
136.0,0.0,123.0,7.324999999999999,879.5350000000004,1.5000000000000007,0.9278655872318482,0.9278655872318482,321.347662427068,322.8443474039961,0.0,0.0,0.0,0.0,0.0
137.0,0.0,124.0,9.575,889.1100000000005,1.5000000000000007,0.9284833901947555,0.9284833901947555,335.8120046017972,337.3086895787253,0.0,0.0,0.0,0.0,0.0
138.0,0.0,125.0,9.71,898.8200000000005,1.5000000000000007,0.9290365558351316,0.9290365558351316,350.4727144417321,351.9879961628843,0.0,0.0,0.0,0.0,0.0
139.0,0.0,126.0,7.635,906.4550000000005,1.5000000000000007,0.9295222638065644,0.9295222638065644,360.8976700813918,362.4394468646797,0.0,0.0,0.0,0.0,0.0
140.0,0.0,127.0,5.7,912.1550000000005,1.5000000000000007,0.9299572752478772,0.9299572752478772,366.5695818275247,368.13301906992615,0.0,0.0,0.0,0.0,0.0
141.0,0.0,128.0,5.654999999999999,917.8100000000005,1.5000000000000007,0.9303292149888738,0.9303292149888738,372.13588873181027,373.7277163944117,0.0,0.0,0.0,0.0,0.0
142.0,0.0,129.0,3.96,921.7700000000006,1.5000000000000007,0.9306664958621993,0.9306664958621993,374.67743015392097,376.2854880372409,0.0,0.0,0.0,0.0,0.0
143.0,0.0,130.0,3.4699999999999998,925.2400000000006,1.5000000000000007,0.930951697656529,0.930951697656529,376.6189424641577,378.2419021138902,0.0,0.0,0.0,0.0,0.0
144.0,0.0,131.0,3.4050000000000002,928.6450000000006,1.5000000000000007,0.9311816942788673,0.9311816942788673,378.48754288129885,380.1272606393345,0.01404056962484646,0.009637188372558357,0.03647555747413836,0.04052839719348707,0.05337203269308734
145.0,0.0,132.0,1.8049999999999997,930.4500000000005,1.5000000000000007,0.931353968363532,0.931353968363532,379.1200799604564,380.7662904047604,0.015710977166748165,0.009637411055053488,0.036537360498036645,0.040597067220040715,0.05982210494416591
146.0,0.0,133.0,2.3349999999999995,932.7850000000005,1.5000000000000007,0.9314709999810274,0.9316492193252717,380.0662102426079,381.723473001968,0.017572618608435238,0.009637530945943199,0.036628998627204874,0.04069888736356097,0.0670788100495091
147.0,0.0,134.0,9.68,942.4650000000005,1.5000000000000007,0.9314709999810274,0.9316492193252717,394.53689247760246,396.38203038073556,0.019645517686316245,0.019662969618410738,0.07757766930129281,0.08619741033476978,0.07787130188382684
148.0,0.0,135.0,8.53,950.9950000000005,1.5000000000000007,0.9314709999810274,0.9316492193252717,406.9008217324169,408.74736489595944,0.021951332371107957,0.021975140822058804,0.08941702858181305,0.09935225397979228,0.08972549262645751
149.0,0.0,136.0,9.425,960.4200000000004,1.5000000000000007,0.9314709999810274,0.9316492193252717,420.93146244913555,422.7795967962381,0.024513371842556576,0.024539959085703677,0.103296408663872,0.11477378740430222,0.10363753463712325
