Date,time_step_counter,season_counter,dap,gdd,gdd_cum,z_root,canopy_cover,canopy_cover_ns,biomass,biomass_ns,harvest_index,harvest_index_adj,DryYield,FreshYield,YieldPot
2026-03-27,177.0,0.0,164.0,14.379999999999999,1214.6599999999996,0.6959914586582759,0.932001735735732,0.932001735735732,812.7308476750121,816.7043193147784,0.21974946197670975,0.22001020529541251,1.7880908064689405,1.986767562743267,1.7947033476347751
2026-03-28,178.0,0.0,165.0,14.995,1229.6549999999995,0.6959914586582759,0.932001735735732,0.932001735735732,829.9684866148503,833.9419582546167,0.22814464062262235,0.22842055108275888,1.895818590938875,2.1064651010431943,1.9025938836612546
2026-03-29,179.0,0.0,166.0,15.105,1244.7599999999995,0.6959914586582759,0.932001735735732,0.932001735735732,847.1830137463089,851.1564853860752,0.23653981926853496,0.23683099592161846,2.006391968734165,2.229324409704628,2.0133240122246367
2026-03-30,180.0,0.0,167.0,14.405000000000001,1259.1649999999995,0.6959914586582759,0.932001735735732,0.932001735735732,864.3744290693877,868.347900709154,0.2449349979144475,0.245241532192644,2.1198050937311854,2.35533899303465,2.126887912492115
2026-03-31,181.0,0.0,168.0,14.790000000000001,1273.9549999999995,0.6959914586582759,0.932001735735732,0.932001735735732,881.5427325840867,885.516204223853,0.2533301765603601,0.2536521530384231,2.2360521211532842,2.4845023568369826,2.243279763630886
2026-04-01,182.0,0.0,169.0,15.605,1289.5599999999995,0.6959914586582759,0.932001735735732,0.932001735735732,898.687924290406,902.6613959301724,0.2617253552062727,0.2542919027223748,2.2852906222142884,2.5392118024603203,2.3624937448081433
2026-04-02,183.0,0.0,170.0,14.965,1304.5249999999994,0.6959914586582759,0.932001735735732,0.932001735735732,915.8100041883456,919.7834758281119,0.27012053385218526,0.25422306141471435,2.328200229389836,2.5868891437664843,2.4845240351910816
2026-04-03,184.0,0.0,171.0,13.645,1318.1699999999994,0.6959914586582759,0.932001735735732,0.932001735735732,932.4855129451183,936.4589845848847,0.27851571249809787,0.2542290406882996,2.3706489741177443,2.6340544156863825,2.608185413169044
2026-04-04,185.0,0.0,172.0,13.48,1331.6499999999994,0.6959914586582759,0.932001735735732,0.932001735735732,949.0957159929258,953.0691876326921,0.28691089114401047,0.254234748176722,2.412931103510671,2.681034559456301,2.734459299455938
2026-04-05,186.0,0.0,173.0,14.825,1346.4749999999995,0.6959914586582759,0.932001735735732,0.932001735735732,966.1484604657261,970.1219321054924,0.295306069789923,0.25424020199899217,2.456337797498215,2.7292642194424612,2.864828949870795
2026-04-06,187.0,0.0,174.0,15.445,1361.9199999999994,0.6959914586582759,0.932001735735732,0.932001735735732,983.1780931301466,987.151564769913,0.3037012484358356,0.2541223858937047,2.4984756278465587,2.7760840309406207,2.9979916261601125
2026-04-07,188.0,0.0,175.0,16.515,1378.4349999999995,0.6959914586582759,0.932001735735732,0.932001735735732,1000.1846139861875,1004.1580856259538,0.31209642708174823,0.2541299983253042,2.5417691427730484,2.824187936414498,3.133941507491084
2026-04-08,189.0,0.0,176.0,17.395,1395.8299999999995,0.6959914586582759,0.932001735735732,0.932001735735732,1017.1680230338486,1021.141494673615,0.3204916057276608,0.2541372935722538,2.585003284820622,2.8722258720229132,3.2726727730309038
2026-04-09,190.0,0.0,177.0,18.490000000000002,1414.3199999999995,0.6959914586582759,0.932001735735732,0.932001735735732,1034.12832027313,1038.1017919128963,0.3288867843735734,0.25414429105402164,2.6281780881470085,2.920197875718898,3.4141796019467687
2026-04-10,191.0,0.0,178.0,18.945,1433.2649999999994,0.6959914586582759,0.932001735735732,0.932001735735732,1051.0655057040315,1055.0389773437978,0.337281963019486,0.2541510086365189,2.671293584177324,2.968103982419249,3.558456173405871
2026-04-11,192.0,0.0,179.0,20.115000000000002,1453.3799999999994,0.6959914586582759,0.932001735735732,0.932001735735732,1067.9795793265534,1071.9530509663198,0.34567714166539854,0.2541574627844083,2.714349801871965,3.0159442243021832,3.705496666575407
2026-04-12,193.0,0.0,180.0,18.685,1472.0649999999994,0.6959914586582759,0.932001735735732,0.932001735735732,1084.8705411406957,1088.844012780462,0.35407232031131114,0.25416366869584056,2.7573467679636106,3.063718631070678,3.855295260622571
2026-04-13,194.0,0.0,181.0,18.255,1490.3199999999995,0.6959914586582759,0.932001735735732,0.932001735735732,1101.738391146458,1105.7118627862244,0.36246749895722374,0.2541296610419198,2.7998440389891948,3.110937821099105,4.0078461347145575
2026-04-14,195.0,0.0,182.0,18.055,1508.3749999999995,0.6959914586582759,0.932001735735732,0.932001735735732,1118.5831293438407,1122.556600983607,0.3708626776031363,0.2541335638683837,2.8426951714319943,3.1585501904799935,4.16314346801856
2026-04-15,196.0,0.0,183.0,18.36,1526.7349999999994,0.6959914586582759,0.932001735735732,0.932001735735732,1135.2347494531919,1139.37822737261,0.3792578562490489,0.25398571800925596,2.8833341294892674,3.203704588321408,4.321181439701775
2026-04-16,197.0,0.0,184.0,19.105,1545.8399999999995,0.6959914586582759,0.932001735735732,0.932001735735732,1152.033264033815,1156.176741953233,0.3876530348949615,0.253994547512285,2.9261016761736958,3.25122408463744,4.481954228931396
